inchi,names,iupac_name,smiles,cid,record_ids,logBB,logBB_group,BBB+/BBB-,BBB+/BBB-_group,split
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,11,16H,2,4H2,1H3/p+1","1-[2,3-Dideoxy-3-(Triaza-1,2-Dien-2-Ium-1-Yl)Pentofuranosyl]-4-Hydroxy-5-Methylpyrimidin-2(1H)-One","[2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl]imino-iminoazanium",Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,6327751.0,R46:238,-0.72,A,BBB+,A,training
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)","1-[(2R,4S,5S)-4-Azido-5-(Hydroxymethyl)Oxolan-2-Yl]-5-Methyl-Pyrimidine-2,4-Dione","1-[4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,5726.0,R41:269|R42:45,-0.86,C,BBB+,A,training
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1",Zidovudine|30516-87-1,"1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,35370.0,R3:302|R4:42|R5:107|R7:223|R17:53|R21:140|R25:265|R26:444|R28:129|R34:100|R40:305|R47:307|R49:104|R51:145|R53:42,-0.72,D,BBB+,A,training
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7-,8-/m0/s1","1-(3-Azido-2,3-Dideoxy-Beta-L-Xylofuranosyl)Thymine","1-[(2S,4S,5R)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O,6713644.0,R48:51,-0.72,A,BBB+,A,training
"InChI=1S/C10H13NO2/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6H,2,7,11H2,1H3",Propyl-4-Aminobenzoate|Risocaine,propyl 4-aminobenzoate,CCCOC(=O)c1ccc(N)cc1,7174.0,R3:242|R21:173|R25:366|R40:222|R41:216|R46:320|R47:201,0.55,B,BBB+,A,training
"InChI=1S/C10H13NO2/c11-10(12)13-8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H2,11,12)",Phenprobamate,3-phenylpropyl carbamate,NC(=O)OCCCc1ccccc1,4770.0,R6:1502|R51:283,,,BBB+,C,test
"InChI=1S/C10H13NO3/c12-6-7-14-10(13)11-8-9-4-2-1-3-5-9/h1-5,12H,6-8H2,(H,11,13)",Buramate,2-hydroxyethyl N-benzylcarbamate,O=C(NCc1ccccc1)OCCO,20787.0,R6:1424|R51:168,,,BBB+,C,training
"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)/t10-/m0/s1",Methyldopa,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)-2-methylpropanoic acid",C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,38853.0,R50:47|R51:91,,,BBB-,C,training
"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",T-Butylbenzene|Tert-Butylbenzene,tert-butylbenzene,CC(C)(C)c1ccccc1,7366.0,R3:93|R21:178|R25:149|R40:397|R41:88|R46:146|R47:75,0.43,B,BBB+,A,training
"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",3-(1-Methylpyrrolidin-2-Yl)Pyridine,3-(1-methylpyrrolidin-2-yl)pyridine,CN1CCCC1c1cccnc1,942.0,R41:190|R42:27|R46:282,0.24,D,BBB+,A,training
"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Nicotine|54-11-5|Nicotrol,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,CN1CCC[C@H]1c1cccnc1,89594.0,R3:208|R4:176|R6:1301|R14:167|R21:13|R23:166|R25:321|R26:283|R37:62|R40:161|R47:175|R51:261,0.24,D,BBB+,A,training
"InChI=1S/C10H14N2O/c1-3-12(4-2)10(13)9-6-5-7-11-8-9/h5-8H,3-4H2,1-2H3",Nikethamide,"N,N-diethylpyridine-3-carboxamide",CCN(CC)C(=O)c1cccnc1,5497.0,R6:401,,,BBB+,C,training
"InChI=1S/C10H14N2O2/c1-10(2,3)12(14)8-9-4-6-11(13)7-5-9/h4-8H,1-3H3",Alpha-(4-Pyridyl-1-Oxide)-N-Tert-Butylnitrone|Cid 92375,tert-butyl-[(1-oxidopyridin-4-ylidene)methyl]-oxoazanium,CC(C)(C)[N+](=O)C=C1C=CN([O-])C=C1,92375.0,R21:281,-0.38,A,BBB+,A,training
"InChI=1S/C10H14N2O2/c1-10(2,3)12(14)8-9-4-6-11(13)7-5-9/h4-8H,1-3H3/b12-8+",Alpha-(4-Pyridyl N-Oxide)-N-Tert-Butylnitrone,N-tert-butyl-1-(1-oxidopyridin-1-ium-4-yl)methanimine oxide,CC(C)(C)/[N+]([O-])=C\c1cc[n+]([O-])cc1,135465079.0,R41:116|R46:116,-0.38,B,BBB+,A,test
"InChI=1S/C10H14N2O2/c1-10(2,3)12(14)8-9-4-6-11(13)7-5-9/h4-8H,1-3H3/b12-8-",Alpha-(4-Pyridyl-1-Oxide)-N-Tert-Butylnitrone,N-tert-butyl-1-(1-oxidopyridin-1-ium-4-yl)methanimine oxide,CC(C)(C)/[N+]([O-])=C/c1cc[n+]([O-])cc1,135532295.0,R25:118|R40:30|R47:103,-0.38,B,BBB+,A,test
"InChI=1S/C10H14N2O3/c1-4-5-10(6(2)3)7(13)11-9(15)12-8(10)14/h4,6H,1,5H2,2-3H3,(H2,11,12,13,14,15)",Aprobarbital,"5-propan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,6464.0,R6:1638,,,BBB+,C,training
"InChI=1S/C10H14N2O4/c1-3-4-10(5-6(2)13)7(14)11-9(16)12-8(10)15/h3,6,13H,1,4-5H2,2H3,(H2,11,12,14,15,16)",Proxibarbal,"5-(2-hydroxypropyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,17336.0,R6:1664,,,BBB+,C,training
"InChI=1S/C10H14N2O4S2/c11-18(15,16)10-5-3-9(4-6-10)12-7-1-2-8-17(12,13)14/h3-6H,1-2,7-8H2,(H2,11,15,16)",Sultiame|Sulthiame,"4-(1,1-dioxothiazinan-2-yl)benzenesulfonamide",NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,5356.0,R6:471|R14:234|R23:314,,,BBB+,C,training
